name,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Kirkland Signature Muffins,Heroic,2.9485714285714284,43,127.1896551724138,109.33189655172414,136.29094827586206,171.8125,155.47544642857144,201.40093387108192,310.44894217411945,70.51605492961309,120694.96551724138,174427.1724137931,15589.034482758621,1078.407327586207,673.3103448275862,1332.4137931034484,21.482758620689655,55.55172413793103,17.689655172413794,36417.15517241379,3207.8154044315734,3107.7586206896553,11199.571491109913,27610.694697939118,18175.741379310348
Can't Pause Wont Pause,BE,4.431297709923665,45,125.15948275862068,119.44827586206897,145.59482758620692,172.5237068965517,168.09620689655173,177.92473884580778,305.4130290955673,78.9487285286411,113146.31034482758,156344.37931034484,20872.931034482757,1115.405172413793,402.6551724137931,1210.103448275862,20.96551724137931,58,18.93103448275862,37194,3041.310344827586,1956.0344827586207,10591.62680158944,27802.1525037042,19583.275862068964
SOLOlane:A YCMYCCaST Story,E,4.3852813852813854,36,126.03125,124.9375,145.87784090909093,163.32386363636357,163.08267045454545,160.04099712150193,323.4750497808631,69.2347887203079,89873.40909090909,129718.40909090909,15323.227272727272,1070.0113636363637,405.22727272727275,1297.2272727272727,11.318181818181818,39.22727272727273,16.227272727272727,34541.681818181816,3290.0759055397725,2173.8636363636365,10001.239013671875,28196.29832874645,20928.136363636368
Clouded Minds,BW,4.681506849315069,33,122.49568965517241,117.58836206896552,142.80172413793102,165.43534482758616,179.44827586206907,146.36929049175941,333.3729356556216,65.3357003749173,101202.10344827586,154988.89655172414,10849.206896551725,1225.2737068965516,471.1034482758621,1183.896551724138,16.96551724137931,44.93103448275862,37.37931034482759,42202.379310344826,3200.4096427128234,2768.103448275862,10093.325279498922,33026.77626616379,22832.86206896552
Can't Counterpick Stupid,BW,3.63953488372093,41,125.54166666666667,106.57638888888887,138.4675925925926,166.5162037037037,164.52083333333337,148.0204270846963,347.25804434131686,56.63247000859404,73902.48148148147,115778.18518518518,8989.74074074074,1074.5578703703704,410.2962962962963,1382.7777777777778,8.148148148148149,44.48148148148148,14.962962962962964,38361.5,3293.5925925925926,2527.777777777778,7581.675889756944,29264.571343315973,19547.759259259263
Maximum Thrust,DW,4.403225806451613,42,124.32870370370371,117.72916666666667,141.71064814814815,171.4907407407407,171.45833333333337,171.79255973966133,315.0107910127383,71.47084013414103,106534.29629629629,143395.88888888888,13645.666666666666,1166.923611111111,478.4074074074074,948.4814814814815,21.22222222222222,50.629629629629626,27.444444444444443,37255.37037037037,3496.3333333333335,3337.962962962963,11559.38720703125,31853.74759476273,27885.148148148146
Protectors of Aiur,BE,4.8542713567839195,30,123.36684782608695,116.59510869565217,144.23913043478262,166.44293478260863,162.94688735177874,158.71100319164938,339.3691932264308,69.0809684415978,97276.26086956522,143554.95652173914,15634.652173913044,1153.570652173913,410.3478260869565,1664.8260869565217,20.782608695652176,52.78260869565217,22,41946.934782608696,3191.1304347826085,2394.5652173913045,9332.568359375,29872.58544921875,18580.108695652176
The High Inquisitors,BE,4.6594827586206895,48,124.54525862068965,113.99568965517241,139.9676724137931,163.01939655172413,174.2370689655172,156.75512080078119,332.8883357668647,65.23070209746331,96027.72413793103,140500.8620689655,12944.172413793103,1220.290948275862,433,1175.551724137931,11.931034482758621,49.275862068965516,32.758620689655174,42057.55172413793,4313.392956963901,2206.0344827586205,9140.995731748384,34584.81598531789,23272.586206896558
Ground Up,BE,3.4030612244897958,27,129.01973684210526,121.70723684210526,145.72039473684214,174.07894736842098,170.92589009287929,155.1399932857235,310.86894234031155,68.65765531025338,105103.94736842105,159146.15789473685,18934.947368421053,1100.5986842105262,471.1578947368421,903,7.578947368421052,51.526315789473685,14.31578947368421,36902,2830.2631578947367,1813.157894736842,8093.315172697368,27016.88037109375,18644.684210526313
Heavy Hitterz,Nexus,3.775800711743772,29,121.94444444444444,117.09027777777779,136.44212962962962,157.65972222222217,172.29166666666674,157.52472777872143,351.9926781026705,69.01688251409075,94242.96296296296,129182.66666666667,10152.851851851852,1065.587962962963,510.51851851851853,775,8.074074074074074,38.44444444444444,30.703703703703702,39134.75925925926,2966.037037037037,2035.1851851851852,9770.603208188657,27900.01677336516,19754.462962962956
Hot(s) Chads,C,2.6202531645569622,41,126.5,118.3912037037037,145.85648148148147,169.8217592592593,155.83940972222217,167.3329615001672,342.6148602292204,61.91106186951142,89606.03703703704,129632.74074074074,11866.74074074074,1115.388888888889,568.7407407407408,1293.962962962963,13.074074074074074,53.03703703703704,14.851851851851851,37251.22222222222,2975.1481481481483,4592.592592592592,8392.48452871817,29231.075846354168,21515.18518518519
Roll1Esports,BW,4.257028112449799,36,125.21875,117.05133928571428,144.97767857142856,171.51116071428572,174.75446428571433,129.6656290399606,344.9740570029035,49.48574285957666,74956.14285714286,114030.07142857143,6228.714285714285,1236.8549107142858,394.57142857142856,648.5,15.357142857142858,54.357142857142854,32.92857142857143,43789.392857142855,3968.7884259905136,2463.3928571428573,8838.414655412946,33649.830854143416,23190.03571428571
COSMOS,DW,5.041152263374485,41,126.29166666666667,118.64351851851852,142.6064814814815,183.62037037037038,186.35238603988603,159.03058887441352,298.1668024619047,57.33250994329469,91181.55555555556,126578.33333333333,8891.925925925925,1089.599537037037,391.0740740740741,739.3333333333334,27.62962962962963,64.88888888888889,24.85185185185185,34216.90740740741,3176.8888888888887,2700.925925925926,8817.891890914352,28134.524350766784,21598.240740740737
Really Aggro Ghoul Elites,DE,3.882051282051282,44,131.51654411764707,123.25367647058823,144.53860294117646,181.31801470588238,182.53527113970586,155.00483309048087,279.5790694983412,59.59558916288552,105029.29411764706,147010.76470588235,11141.558823529413,1206.1139705882354,504.8235294117647,1006.4411764705883,20.147058823529413,62.8235294117647,26.91176470588235,36043.294117647056,3660.3009392233457,2027.2058823529412,11335.20758415671,31405.000402113972,24346.73529411765
Can't Connect Stuns,Heroic,3.246696035242291,36,124.58035714285714,111.4404761904762,134.98511904761907,167.9315476190476,148.58088235294122,178.17277282838083,309.6942623640819,74.99207747953831,99361.23809523809,149959.90476190476,17363.238095238095,967.7916666666666,526.0952380952381,1672.1904761904761,12.619047619047619,49.285714285714285,22.38095238095238,33801.19047619047,1993.859107607887,1589.2857142857142,9124.209449404761,23692.955485026043,15972.71428571429
FF & the Pancakes,DE,2.567415730337079,37,121.44886363636364,123.66477272727273,146.82386363636363,175.2265625,177.35677083333337,147.29731926831946,337.2391348464364,70.38258409589382,97043.84848484848,151721.0909090909,16839.81818181818,1136.3863636363637,511.5151515151515,932.7272727272727,10.121212121212121,39.696969696969695,7.0606060606060606,38897.393939393936,2902.604551373106,1672.7272727272727,7099.474994081439,28291.923473011364,19545.272727272728
Rodney's Imaginary Friends,Heroic,3.942953020134228,39,127.86342592592592,124.96296296296296,140.06250000000003,172.7476851851851,169.17092592592599,172.38907466869065,293.0773740111825,59.3790739939592,97343.66666666667,136554.77777777778,13198,1039.1157407407406,434.1111111111111,1274.5925925925926,14.148148148148149,51,18.333333333333332,34083.57407407407,2956.8131962528937,2168.5185185185187,11056.77173755787,25253.981282552082,15749.981481481482
Magnitude: Tsunami,Nexus,3.1316872427983538,37,122.00520833333333,119.44791666666667,141.38802083333331,172.70833333333331,165.4135890151515,159.20967482257123,329.33285968592673,67.94555384714306,100626.66666666667,151194.54166666666,14450.166666666666,1174.8828125,492.375,3358.75,14.958333333333334,50.666666666666664,19.291666666666668,40096.375,3539.6505533854165,2223.9583333333335,8927.753194173178,31434.931803385418,22143.041666666664
Team Happy Cloud,Nexus,3.659090909090909,39,127.25520833333333,115.28125000000001,139.52083333333334,176.71614583333331,169.71168154761904,171.71073933814014,318.83728003453945,60.949122649747885,102099.54166666667,139969.66666666666,13315.5,1116.546875,473.5416666666667,2270.2083333333335,17.625,53.333333333333336,16.75,37394.604166666664,4025.9708251953125,2176.0416666666665,8907.277425130209,28243.175262451172,18543.10416666667
