name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
HunterX#248232,D,6,30 Seconds to Mosh,7,7,0.8465608465608465,66672.83333333333,2980.243207201184,39285.666666666664,0,140.00464524464127,189020,27617.666666666668,0,22612.666666666668,18971.833333333332,856.1688267994165,52.166666666666664,0,1.5,6.5,44.333333333333336,0.032710002500967214
EternalBlue#9190817,Nexus,10,Well, you know...,5.5,8.8,0.8034164104816279,49336,2425.806393285223,43355.6,0,561.7368204340307,127618.3,20195.7,176.3,21786.6,15226.8,772.8353465554131,77.4,2.8,5.9,9.4,57.2,0.049760392548907295
Kalamansi#1778149,Nexus,10,Well, you know...,23.5,9.4,0.8616381203337724,13238.6,670.7423716600458,19822.7,72238.3,3808.606812574403,46169,6139.7,11760,8578.1,6888.8,344.8015628759409,1233.2,4.1,3.3,3.9,18.7,0.019142418249631844
Sycopants#6297863,Nexus,5,Well, you know...,12,7.2,0.7843379446640316,42990.6,2425.5069786921936,17647.8,0,0,104041.4,12181.2,0,7526.8,9464.2,512.2707286070299,51,11.2,0,0.2,25.8,0.024411124139844448
Sugar#5366090,Nexus,8,haunted house,6.166666666666667,9.25,0.8563579277864992,46496.25,2498.2636751804093,45409.5,158.5,696.3068281610845,120430.625,22694.25,0,24921.25,13564,709.4845936413307,40.5,15.25,0,12,60,0.05712759006418354
BishopMist#2204982,Nexus,10,Well, you know...,6.133333333333334,9.2,0.8484976577367881,35537.4,1810.4080414357097,82517.2,2447,1452.465772501433,74115.7,20774.4,137.7,54951.4,11909.2,606.7257810351699,83.3,0,5.3,14.2,57.1,0.051298727852354745
Kanny#7872663,Nexus,10,Well, you know...,8,8.8,0.7981335090030741,69634.3,3604.518327432961,47300.9,0,899.4872407674253,112961.6,32449.6,0,28429.1,13780.3,706.5219978815253,155.2,2.9,3.9,0.4,48.3,0.038762787887786226
krasavchik#7703661,Nexus,8,haunted house,7.363636363636363,10.125,0.9540816326530611,12280,687.0742198212386,30597.125,79256.625,4257.927730936207,30605.375,6203.25,15771.75,17578.625,6587.5,350.99597043321506,2266.5,1.125,0,2.25,71.125,0.06068515305527999
aaron#4711127,Nexus,8,haunted house,4.769230769230769,7.75,0.768402232687947,47735.875,2535.9880827315346,58466.75,0,1322.4351854438205,118387.25,23709.125,0,30174.75,17602.375,940.3688848943065,49.25,0,1.625,2.125,70.125,0.05873227838693819
iTzGaMeR#9874092,Nexus,8,haunted house,3,9.75,0.8513867085295657,30845.25,1698.6816858389095,80556.75,2240.25,1369.13350392954,27572.25,21779.75,0,62486.75,4457.625,247.95269039613135,187.25,0,2,19,129.875,0.10278135845346352
Bobby#8653549,Nexus,8,haunted house,7.5,9.375,0.9047619047619048,49261.5,2546.4266888034044,35561,0,803.6048512946666,129653.25,21953.625,0,16617.75,13399.375,731.7193281609016,128.5,10,0,5.25,60.625,0.05169214211281316
